episode,episode_reward,smoothed_reward
644,-1002908.0,-223941.1
645,-1002979.0,-243939.39
646,-3760.0,-243932.22999999998
647,-3966.0,-243927.94
648,-4300.0,-243933.4
649,-3440.0,-243924.66
650,-4092.0,-233921.47
651,-3893.0,-233908.69999999998
652,-4294.0,-233908.44
653,-3432.0,-233910.55000000002
654,-1003545.0,-233909.87999999998
655,-3666.0,-243918.12
656,-3660.0,-243914.53
657,-4460.0,-253912.43
658,-4278.0,-253912.37
659,-4480.0,-253915.59
660,-3900.0,-253935.53000000003
661,-4696.0,-253942.71000000005
662,-3908.0,-263931.41000000003
663,-3391.0,-263938.7
664,-1003854.0,-263936.74
665,-3163.0,-273930.81
666,-4082.0,-243939.77000000005
667,-3978.0,-243942.77000000002
668,-4286.0,-243929.95
669,-1002678.0,-243928.95
670,-3928.0,-243939.39000000004
671,-1004490.0,-233952.14000000004
672,-4314.0,-233934.92
673,-5367.0,-243938.40000000002
674,-3195.0,-243938.38
675,-4284.0,-243942.02000000002
676,-3876.0,-243940.40000000002
677,-4274.0,-243939.16
678,-4320.0,-253930.36000000004
679,-1003884.0,-263927.26000000007
680,-3914.0,-273923.36000000004
681,-3788.0,-263920.29000000004
682,-3057.0,-273923.68
683,-4588.0,-273925.67
684,-4614.0,-273925.58999999997
685,-1004739.0,-273930.98999999993
686,-3580.0,-263922.65
687,-3974.0,-263906.31
688,-4790.0,-263913.22000000003
689,-3390.0,-263902.29
690,-1003902.0,-263898.99
691,-3923.0,-263895.29000000004
692,-1003875.0,-263902.43000000005
693,-4302.0,-253911.69
694,-2003356.0,-253910.41999999998
695,-3916.0,-243924.09999999998
696,-3839.0,-233937.03
697,-4830.0,-233938.97000000003
698,-3400.0,-233938.55000000002
699,-3919.0,-233929.48
700,-3054.0,-233937.74000000002
701,-4286.0,-233936.38
702,-4150.0,-233934.97
703,-3980.0,-233938.88999999998
704,-1004192.0,-233934.94999999998
705,-3549.0,-243936.13999999998
706,-1003712.0,-243929.93999999997
707,-3758.0,-243936.34
708,-4244.0,-243922.58000000002
709,-4667.0,-243924.75999999998
710,-4998.0,-243922.75999999998
711,-1003174.0,-243917.60999999996
